Date,Close
2020-08-03,12.37
2020-08-04,12.33
2020-08-05,12.4
2020-08-06,12.34
2020-08-07,12.34
2020-08-10,12.36
2020-08-11,13.49
2020-08-12,13.7
2020-08-13,13.7
2020-08-14,14.66
2020-08-17,14.38
2020-08-18,14.31
2020-08-19,14.17
2020-08-20,14.41
2020-08-21,14.51
2020-08-24,14.86
2020-08-25,14.7
2020-08-26,14.61
2020-08-27,14.65
2020-08-28,14.69
2020-08-31,14.44
2020-09-01,14.88
2020-09-02,15.0
2020-09-03,14.43
2020-09-04,14.22
2020-09-08,13.88
2020-09-09,14.11
2020-09-10,13.97
2020-09-11,14.11
2020-09-14,14.26
2020-09-15,15.57
2020-09-16,17.49
2020-09-17,16.36
2020-09-18,15.96
2020-09-21,15.22
2020-09-22,15.43
2020-09-23,14.83
2020-09-24,14.61
2020-09-25,14.61
2020-09-28,15.15
2020-09-29,14.97
2020-09-30,15.06
2020-10-01,14.9
2020-10-02,14.65
2020-10-05,14.82
2020-10-06,15.0
2020-10-07,15.31
2020-10-08,16.39
2020-10-09,16.47
2020-10-12,16.65
2020-10-13,16.61
2020-10-14,16.42
2020-10-15,16.6
2020-10-16,16.47
2020-10-19,16.41
2020-10-20,16.91
2020-10-21,18.1
2020-10-22,18.31
2020-10-23,18.43
2020-10-26,17.5
2020-10-27,17.56
2020-10-28,16.22
2020-10-29,16.2
2020-10-30,16.71
2020-11-02,16.66
2020-11-03,17.19
2020-11-04,17.25
2020-11-05,18.17
2020-11-06,18.56
2020-11-09,18.5
2020-11-10,18.61
2020-11-11,19.22
2020-11-12,18.69
2020-11-13,19.23
2020-11-16,20.39
2020-11-17,20.82
2020-11-18,21.3
2020-11-19,21.71
2020-11-20,22.21
2020-11-23,22.08
2020-11-24,24.72
2020-11-25,27.03
2020-11-27,27.13
2020-11-30,34.28
2020-12-01,32.4
2020-12-02,32.13
2020-12-03,33.16
2020-12-04,32.8
2020-12-07,33.62
2020-12-08,28.94
2020-12-09,28.62
2020-12-10,29.03
2020-12-11,28.59
2020-12-14,27.95
2020-12-15,28.58
2020-12-16,29.91
2020-12-17,29.78
2020-12-18,30.12
2020-12-21,31.76
2020-12-22,33.15
2020-12-23,33.72
2020-12-24,32.26
2020-12-28,37.0
2020-12-29,36.61
2020-12-30,39.0
2020-12-31,38.85
2021-01-04,42.52
2021-01-05,42.86
2021-01-06,48.06
2021-01-07,53.58
2021-01-08,53.16
2021-01-11,49.55
2021-01-12,51.42
2021-01-13,51.93
2021-01-14,63.1
2021-01-15,57.81
2021-01-19,59.22
2021-01-20,55.08
2021-01-21,52.05
2021-01-22,57.7
2021-01-25,57.14
2021-01-26,55.98
2021-01-27,54.01
2021-01-28,57.84
2021-01-29,61.73
2021-02-01,63.46
2021-02-02,68.79
2021-02-03,74.12
2021-02-04,76.56
2021-02-05,80.6
2021-02-08,104.1
2021-02-09,127.29
2021-02-10,97.45
2021-02-11,100.99
2021-02-12,103.43
2021-02-16,95.5
2021-02-17,94.18
2021-02-18,92.78
2021-02-19,96.37
2021-02-22,87.6
2021-02-23,69.12
2021-02-24,81.77
2021-02-25,73.16
2021-02-26,75.04
2021-03-01,78.24
2021-03-02,74.85
2021-03-03,73.16
2021-03-04,64.57
2021-03-05,62.02
2021-03-08,62.42
2021-03-09,71.6
2021-03-10,75.65
2021-03-11,80.38
2021-03-12,78.4
2021-03-15,76.9
2021-03-16,72.43
2021-03-17,77.1
2021-03-18,73.21
2021-03-19,77.7
2021-03-22,72.46
2021-03-23,67.72
2021-03-24,62.16
2021-03-25,62.09
2021-03-26,62.4
2021-03-29,63.13
2021-03-30,65.4
2021-03-31,67.88
2021-04-01,70.36
2021-04-05,72.06
2021-04-06,70.46
2021-04-07,65.62
2021-04-08,69.01
2021-04-09,71.1
2021-04-12,71.82
2021-04-13,84.85
2021-04-14,73.55
2021-04-15,74.01
2021-04-16,69.36
2021-04-19,63.75
2021-04-20,64.64
2021-04-21,65.05
2021-04-22,59.82
2021-04-23,61.3
2021-04-26,65.88
2021-04-27,67.7
2021-04-28,68.08
2021-04-29,65.5
2021-04-30,65.72
2021-05-03,63.56
2021-05-04,61.69
2021-05-05,62.35
2021-05-06,60.91
2021-05-07,62.05
2021-05-10,56.95
2021-05-11,57.7
2021-05-12,54.19
2021-05-13,48.81
2021-05-14,52.13
2021-05-17,48.94
2021-05-18,48.72
2021-05-19,45.49
2021-05-20,47.27
2021-05-21,45.05
2021-05-24,47.24
2021-05-25,46.97
2021-05-26,48.28
2021-05-27,49.38
2021-05-28,47.0
2021-06-01,47.78
2021-06-02,49.85
2021-06-03,48.86
2021-06-04,48.47
2021-06-07,46.98
2021-06-08,45.94
2021-06-09,51.3
2021-06-10,50.87
2021-06-11,51.64
2021-06-14,59.85
2021-06-15,63.05
2021-06-16,61.98
2021-06-17,63.08
2021-06-18,64.65
2021-06-21,58.37
